pubchem id,common name,flavor profile
15286,1-Propoxy-2-Propanol,{''}
15380,Bis(methylthio)methane,"{'sulfurous', 'sulfur', 'horseradish', 'garlic', 'green', 'mushroom', 'cheese', 'spicy'}"
15394,Ethyl Vinyl Ketone,"{'fish', 'garlic', 'pungent', 'onion', 'peppery', 'mustard'}"
15406,Fenchol,"{'camphor', 'woody', 'lemon', 'dry', 'bitter', 'pine', 'sweet', 'borneol'}"
15448,2-Undecanol,"{'fresh', 'sarsaparilla', 'clean cloth', 'cotton', 'waxy'}"
15450,6-Methyl-1-Heptanol,{''}
1548943,Capsaicin,"{'herbal', 'mild', 'warm'}"
1549018,cis-Jasmone,"{'jasmine', 'jasmin', 'floral', 'woody', 'celery', 'spicy', 'herbal'}"
1549025,Neryl acetate,"{'dewy', 'rose', 'blossom', 'citrus', 'soapy', 'pear', 'floral', 'lime', 'grapefruit', 'fruit'}"
1549026,Geranyl Acetate,"{'green', 'rose', 'lavender', 'bitter', 'waxy', 'floral'}"
1549040,cis-Anethole,{'anise'}
1549041,cis-Isoeugenol,"{'spicy', 'clove'}"
1549045,cis-Methylisoeugenol,"{'bitter', 'mild', 'clove', 'spicy'}"
1549521,3-(2-Furyl)acrolein,{''}
1549778,Geranylacetone,"{'fresh', 'leaf', 'aldehydic', 'green', 'fruity', 'rose', 'floral', 'magnolia'}"
155007,Lilac aldehyde,"{'floral', 'lilac'}"
1550470,Ethyl Sorbate,{''}
15504,Ethylcyclohexane,{''}
1550846,Cinnamonitrile,"{'cinnamon', 'cassia', 'cumin', 'nitrile', 'deep'}"
1550884,Hexyl cinnamic aldehyde,"{'herbal', 'jasmin', 'floral', 'green', 'fresh', 'waxy'}"
1550890,Cinnamyl cinnamate,{''}
15558051,WLN: R1U1VO1R,"{'cherry', 'floral', 'apricot', 'pineapple', 'peach', 'chocolate', 'sweet', 'balsam', 'fruity'}"
15560285,(+)-gamma-Gurjunene,{'musty'}
155626,"P-Mentha-2,8-dien-1-ol",{''}
15600,Decane,{'alkane'}
15606,Methyl Nonanoate,"{'waxy', 'coconut', 'fruity', 'tropical', 'wine', 'sweet', 'pear'}"
15654,4-Methyl-5-Vinylthiazole,"{'cocoa', 'vegetable', 'root', 'nutty', 'musty'}"
15801179,99583-29-6,{''}
15824502,UNII-27Y1FYY1BV,{'fruity'}
15877,2-Methyl-1-butanethiol,"{'meaty', 'sulfurous', 'bloody'}"
159055,D-Camphor,"{'medicinal', 'camphor', 'woody', 'minty', 'bitter', 'phenolic', 'herbal'}"
15979,Pristane,{''}
160799,Cedrelanol,"{'odorless', 'balsam', 'earthy'}"
161120,Ginkgolide C,{'bitter'}
1616260,23726-92-3,{''}
16217806,Vitamin U,"{'potato', 'malty', 'sulfury', 'tomato', 'green'}"
16220110,cis-3-Hexenyl crotonate,"{'vegetable', 'green'}"
162293,"2,4-Dimethyl-5-ethylthiazole","{'earth', 'roasted', 'nutty', 'meaty', 'earthy'}"
16237,Ethyl 3-phenylpropionate,"{'rose', 'hyacinth', 'rum', 'flower', 'honey', 'fruity'}"
162392,9-Decenal,"{'rose', 'dewy', 'floral', 'aldehydic', 'waxy'}"
162458,Methyl N-formylanthranilate,"{'fruity', 'grape'}"
162464,Cirsilineol,{''}
16255,Isopentyl octanoate,"{'soapy', 'pineapple', 'oily', 'green', 'sweet', 'coconut', 'fruity'}"
